Id;Entidad;Ultima_Actualizacion;Domicilio;Localidad;Objeto_Social;Seccionales;CP;Telefono;e_mail;Página_web;Fecha_de_fundacion;Inscripcion DGPJ;Inscripcion_DGPJ(2);Decreto;Nºde_Expediente;Registro_Municipal;Exencion;ayuda_desarrollo_social_al_31/12/2015;Bajas;Suspendidas;Contacto;Anio_de_actualización;Cierre_de_ejercicio_según_estatuto;Cuenta_con_Bienes;Actualizadas;Desactualizadas;Certificados_Retirados;Archivado
11;"CENTRO DE FOMENTO AVENIDA 44 - BIBLIOTECA POPULAR "" FRAY JUSTO SANTA MARIA DE ORO""";01/01/2018;44 N° 1718 E/ 29 Y 30;C. URBANO OESTE;Promoción y Fomento;4;1900;453-2667;;;13 de Abril 1940;;L: 3554 / M: 1433;14112/81;;14;SI;;;;ADRIANO RAVLIC TEL: 479-9923 156393066 Ó 156383066;2018;28 de febrero;X;X;;2011;
12;ASOCIACION CULTURAL ALBORADA ( BIBLIOTECA POPULAR FLORENTINO AMEGHINO );01/01/2000;58 Nº 774 E/ 10 Y 11;C. URBANO SUR;Promoción y Fomento;9;1900;424-1631;"bb001027@abc.gov.ar; noemi_ely_59@hotmail.com;";;mayo 2 de 1918;;L: 3178 / M: 3278;15039/81;;15;SI;;;;ZUAZO WALTER TEL: 451-1672;1999-2000;31 de octubre;X;;X;;
13;CLUB DE PESCA LA PLATA;01/01/1997;116 Nº 1471 E/ 62 Y 63;C. URBANO SUR;Pesca Deportiva;9;1900;483-5024;cpescalp@topmail.com.ar;;21 de Abril 1942;;L: 3130 / M: 537;13554/80;;17;;;;;MANUEL RAMOS TEL: 452- 8957;1997-1998;31 de octubre;X;;X;;ARCHIVADA
14;ASOCIACION  EMPLEADOS DE ESCRIBANIA DE LA PROVINCIA DE BUENOS AIRES;;45 Nº 509 E/ 5 Y 6;C. URBANO NORTE;;1;1900;;;;;;;Dto. de baja 1255/72;;18;;;x;;;;;;;;;ARCHIVADA
15;CLUB SOCIAL Y DEPORTIVO BOCHIN;01/01/2003;19 N° 1127 E/ 55 Y 56;C. URBANO SUR;Deportes en general;5;1900;451-7609;clubbochin@hotmail.com;;enero 20 de 1940;;L: 4385 / M: 2061;15505/81  Disp. 17/02;;20;;;;;VIGO JUAN PABLO TEL: 424-9478 / 154-817775;2002-2003;31 de octubre;X;;X;;ARCHIVADA
16;CENTRO DE FOMENTO Y BIBLIOTECA ESTEBAN ECHEVERRIA;01/01/1999;14 Nº 572;C. URBANO OESTE;Promoción y Fomento;2;1900;;;;diciembre 3 de 1938;;L: 3137 / M: 1383;13554/80;;23;SI;;;;;1999 ( falta acta de aprobación de memoria balance y renovación de cargos );31 de diciembre;X;;X;;ARCHIVADA
17;AERO CLUB LA PLATA;;DIAG. 74 Y CAMINO PUNTA LARA;;;;;;;;;;;Dto. de baja 1278/84;;24;;;x;;;;;;;;;
18;CLUB ATLETICO PLATENSE Y BIBLIOTECA PUBLICA JUAN VUCETICH;01/01/2010;21 N° 965 E/ 51 Y 53;C. URBANO SUR;Deportes en general;5;1900;452-4499;silviarru50@yahoo.com.ar;;septiembre 25 de 1921;;L: 1544 / M: 351;13784/80;;26;SI;;;;GARRITANO ORESTE TEL: 15-5455800;2009-2010;30 de septiembre;X;X;;;ARCHIVADA
19;ASOCIACION CULTURAL Y DEPORTIVA GRAL. SAN MARTIN GUEMES Y BIBLIOTECA DALMACIO VELEZ SARSFIELD;01/01/1992;DIAG. 74 N° 2147 E/ 57 Y 58 / 17 N° 1150 ESQ. 56;C. URBANO SUR;Promoción y Fomento;9;1900;;;;septiembre 21 de 1941;;L: 4614 / M: 3881;16440/82;;28;;;;;;1992-1993;30 de septiembre;;;X;;ARCHIVADA
20;CENTRO DE FOMENTO Y BIBLIOTECA PUBLICA GENERAL SAN MARTIN;01/01/2020;22 Nº 986/990 ESQ 53;C. URBANO SUR;Promoción y Fomento;5;1900;457-3670;bibliotecapopularsanmartin@hotmail.com;;19 de Abril  1936;;L: 1604 / M: 2936;14691/81;;30;SI;;;;Liliana Astrada Tel. 221-5693981;2020;31 de diciembre;X;X;;2020;
21;CLUB CULTURAL Y  DEPORTIVO JUAN CASTELLI;;64 ESQ. 28;C. URBANO SUR;;5;1900;;;;;;;Dto. de baja 340/84;;33;;;x;;;;;;;;;ARCHIVADA
22;ASOCIACION CULTURAL Y DEPORTIVA RECONQUISTA Y BIBLIOTECA JOAQUIN V. GONZALEZ;01/01/2018;40 Nº 1027 E/ 15 Y 16;C. URBANO OESTE;Deportes en general;2;1900;421-6703;;;octubre 12 de 1903;;L: 1497/ M: 608;14865/81;;35;SI;;;;Canepa Gonzalo (Pte. Tel. 221-6706389);2018;31 de diciembre;X;X;;2019;
23;CLUB ATLETICO ABASTENSE ARGENTINO (se les pidio que se actualicen sino no se les certifica firma. 30/8/19);01/01/2011;520 Y 208;ABASTO;Deportes en general;7;1903;;;;septiembre 16 de 1915;;L: 1543 / M: 1599;15469/81;;36;SI;;;;FERNANDO JAVIER PERSICO;2011 (se estan actualizando);31 de diciembre;X;X;;2011;ARCHIVADA
24;CLUB SOCIAL Y CULTURAL VILLA RIVERA (BIBLIOTECA PUBLICA DOMINGO F. SARMIENTO);01/01/2005;3 Y 522;TOLOSA;Promoción y Fomento;6;1906;427-7689;clubvillarivera@hotmail.com;;diciembre 23 de 1923;;L: 3180 / M: 557;13554/80;;38;;;;;Juna Pablo Lucero 221-3538888;2004-2005;31 de julio;X;;X;;
25;SOCIEDAD DE FOMENTO NUEVO BARRIO TALLERES DEL PROVINCIAL Y BIBLIOTECA PUBLICA GRAL. MANUEL BELGRANO;01/01/2006;50 ESQ. 133;SAN CARLOS;Promoción y Fomento;4;1900;479-5627;;;junio 22 de 1935;05/09/1949;L: 4425 / M: 8499;13554/80;;39;;;;;ROBERTO MEDEROS TEL: 470-5164;2005-2006;30 de septiembre;X;;X;;ARCHIVADA
26;CENTRO DE FOMENTO Y CULTURA CIRCUNVALACION Y BIBLIOTECA POPULAR DR. NICOLAS AVELLANEDA;01/01/2018;7 Nº 2241 E/ 77 Y 78;VILLA ELVIRA;Equipamiento e Infraestructura;8;1900;452-0543;circunvalación@yahoo.com.ar;;diciembre 22 de 1927;;L: 3813 / M: 853;16368/82;;40;SI;;;;JOSE RAMON SAGASTUME TEL: 452-8406;2018;31 de mayo;X;X;;;
27;SOCIEDAD DE FOMENTO UNION VECINAL DE ANGEL ETCHEVERRY;01/01/2015;52 Y 228;ETCHEVERRY;Promoción y Fomento;7;;;unionvecinaletcheverry@hotmail.com;;mayo 8 de 1925;;L: 1555 / M: 2555;;;41;;;;;CAMPANUCCI WALTER;2014-2015;30 de abril;X;X;;;
28;LIGA DE FOMENTO DARDO ROCHA;01/01/2017;5 E/ 519 Y 520;RINGUELET;Promoción y Fomento;6;1901;;;;febrero 15 de 1929;;L: 3919 / M: 556;;;44;;;;;ALEJANDRO MARTINEZ  TEL: 15- 5422315;2017;31 de diciembre;X;;X;2010;ARCHIVADA
29;CLUB EVERTON Y BIBLIOTECA POPULAR MARIO L. SUREDA;01/01/2013;14 Nº 1528 E/ 63 Y 64;C. URBANO SUR;Deportes en general;9;1900;451-8904/451-3230;biblioeverton@yahoo.com.ar;;9 de Abril 1905;;L: 3754 / M: 1822;14644/81;;45;SI;;;;URANGA GONZALO / MARIA INES 15 5069840;2013;31 de diciembre;X;;X;;
30;CENTRO DE FOMENTO Y BIBLIOTECA MANUEL BELGRANO;01/01/1994;33 N° 892 E/ 12 Y 13;C. URBANO NORTE;Promoción y Fomento;2;1900;424-6445 / 424-4073 / 452-7023;;;octubre 27 de 1928;;L: 3185 / M: 2836;14845/81;;46;SI;;;;MASTROIACOVO CARLOS TEL: 422-4508;1994-1995;30 de noviembre;;;X;;
31;SIND. GRAD. SUP. BELLAS ARTES;;;;;;;;;;;;;Dto. de baja 1311/84;;47;;;x;;;;;;;;;
32;CENTRO DE FOMENTO VILLA  MONTORO;;96 ESQ.119;VILLA ELVIRA;;8;1900;;;;;;;;;48;;;x;;;;;;;;;
33;ASOCIACION APICOLA ARGENTINA;;;;;;;;;;;;;Dto. de baja 1178/84;;49;;;x;;;;;;;;;
34;BIBLIOTECA EUFORION;01/01/2017;DIAG. 79 Nº 371 E/ 116 Y 117;C. URBANO SUR;Bibliotecas;9;1900;483-4270/427-3019;euforion@netverk.com.ar;;agosto 3 de 1927;;L: 1594 / M: 881;14238/81;;50;SI;;;;0;2017;30 de junio;X;X;;;
35;FEDERACION DE INSTITUCIONES CULTURALES Y DEPORTIVAS DE LA PLATA Y BIBLIOTECA POPULAR MARIANO MORENO;01/01/2016;3 N° 967 E/ 51 Y 53;C. URBANO SUR;Asistencia y Fomento de Instituciones;1;1900;483-9813;;;marzo 27 de 1939;;L: 3870 / M: 1699;13554/80;;51;SI;;;;ALBA ALBERTO;2015-2016;30 de septiembre;X;X;;2011;
36;CLUB SOCIAL CULTURAL Y DEPORTIVO INSTITUTO;01/01/1995;66 Nº 131 E/ 117 Y 118;C. URBANO SUR;Deportes en general;9;1900;427-1798;;;1 de Abril 1942;;L: 3740 / M: 796;15073/81;;52;;;;;GUIDOTTI JORGE;1995-1996;;;;X;;
37;CENTRO FOMENTO CULTURAL GRAL. B. MITRE;;;;;;;;;;;;; Dto. de baja 769/03;;53;;;x;;;;;;;;;ARCHIVADA
38;CLUB DEPORTIVO Y CULTURAL JUVENTUD ( BIBLIOTECA POPULAR JOSE M. ESTRADA );01/01/2017;35 Nº 330/332;C. URBANO NORTE;Deportes en general;2;1900;427-3004;;;mayo 1 de 1936;21/04/1905;L: 1625 / M: 3338;18280/83;;54;SI;;;;LAYUN CARLOS OMAR;2017;31 de marzo;X;;X;;
39;CENTRO DE FOMENTO GRAL. LAVALLE;;;;;;;;;;;;;Dto. de baja 1903/84;;55;;;x;;;;;;;;;
40;CLUB SOCIAL Y DEPORTIVO DOMINGO MATHEU;01/01/2007;63 Nº 317 E/ 1 Y 2;C. URBANO SUR;Deportes en general;9;1900;421-4298;;;setiembre 1 de 1939;;;1585/04;;56;SI;;;;SEMPER RAUL TEL: 15-4598326;2007 - 2008;31 de marzo;X;;X;;
41;CENTRO VECINAL UNIDOS DE OLMOS;01/01/2008;44 E/ 183 Y 184;OLMOS;Promoción y Fomento;14;;;;;febrero 5 de 1939;;L: 3767 / M: 1220;14552/81;;59;;;;;EVA CEJAS;2007-2008;30 de abril;X;;X;;ARCHIVADA
42;ASOCIACION CORONEL BRANDSEN ( BIBLIOTECA PUBLICA );01/01/2018;60 Nº 1427 E/ 23 Y 24;C. URBANO SUR;Deportes en general;5;1900;;;;marzo 2 de 1942;;L: 3186 / M: 219;14613/81;;60;SI;;;;GERMAN SANCHEZ 15-5448890;2018;30 de junio;X;X;;2019;ARCHIVADA
43;CLUB UNIVERSITARIO DE LA PLATA;01/01/2018;46 Nº 372 (Legal) y Social es 14 E/ 500 y 501;C. URBANO NORTE;Deportes en general;1;1900;421-6852;clubuniversitariolp@netverk.com.ar;;marzo 6 de 1937;04/10/1938;L: 1606 / M: 140;13554/80;;61;SI;;;;MARCELO GALLAND 15 4774360 SECRE ALEJANDRO ESCAGLIA 15 4590406;2018;30 de abril;X;X;;;
44;CLUB FAMILIAR CULTURAL Y DEPORTIVO DANTE ALIGUIERI;;6 N° 1773 E/ 78 Y 79;VILLA ELVIRA;;8;1900;;;;;;;Dto. de baja 762/98;;63;;;x;;;;;;;;;
45;UNION A. SOCIAL. OBREROS EMP. CADE;;;;;;;;;;;;;Dto. de baja 1352/84;;64;;;x;;;;;;;;;
46;CLUB SOCIAL CULTURAL Y DEPORTIVO EL FORTIN DE ZONA SUR Y BIBLIOTECA POPULAR BENITO LYNCH;01/01/2017;68 Nº 1478 E/ 24 Y 25;C. URBANO SUR;Deportes en general;5;1900;451-8980;;;octubre 17 de 1939;;L: 4121 / M: 5471;18622/83;;65;SI;;;;DIAZ GUSTAVO 15 5086090;2017;30 de junio;X;X;;2011;
47;CENTRO SOCIAL CULTURAL Y DEPORTIVO ACONCAGUA ( BIBLIOTECA POPULAR JUAN VUCETICH );01/01/2019;69 Nº 480 E/ 4 Y 5;C. URBANO SUR;Deportes en general;9;1900;482-1734;clubaconcagua@yahoo.com.ar;;julio 31 de 1944;;L: 3972 / M: 7569;13554/80;;66;SI;;;;OSCAR SILVESTRELLI TEL: 486-7732 ???;2019;30 de junio;X;X;;;
48;CLUB ATLETICO AMERICA ( BIBLIOTECA SEÑORITA MARIANA );01/01/2011;66 Nº 24 E/ 119 Y 120;C. URBANO SUR;Deportes en general;9;1900;427-5541;;;agosto 1 de 1927;;L: 3505 / M: 9880;14962/81;;67;SI;;;;MARIA DEL CARME CHECHILE (15)4656538;2010-2011;30 de noviembre;X;;X;;
49;SOCIEDAD COOP. DE CONSUMO LTDA. MINIST. DE EDUCACION;;;;;;;;;;;;;Dto. de baja 1281/84;;68;;;x;;;;;;;;;
50;SOCIEDAD TIPOGRAFICA LA PLATA;;44 N° 682 E/ 8 Y 9;C. URBANO NORTE;;1;1900;;;;;;;Dto. de baja 766/98;;69;;;x;;;;;;;;;
51;BIBLIOTECA POPULAR ALEJANDRO KORN Y CLUB ATLETICO SPORTING;01/01/2004;11 Nº 432;C. URBANO NORTE;Deportes en general;2;1900;421-6524;upak49hotmail.com;;16 de Abril 1924;;L: 1527 / M: 8961;13554/80;;70;SI;;;;GUILLEN ANTONIO 15-5456539;2004 ( resta presentar informe de la comisión revisora de cuentas ) 2013;31 de diciembre;X;;X;;
52;LIGA POPULAR CONTRA LA TUBERCULOSIS DE LA PROVINCIA DE BUENOS AIRES;01/01/1997;7 N° 1523 E/ 63 Y 64;C. URBANO SUR;Especialidades Médicas;9;1900;421-5453/421-7475;;;septiembre 1 de 1911;;L: 1464 / M: 3952;14846/81;;71;;;;;IRMA L.S. DE BERMEJO TEL: 451-2411;1997;31 de diciembre;X;;X;;ARCHIVADA
53;CLUB ATLETICO Y CULTURAL EL VOLCAN ( BIBLIOTECA PUBLICA BARTOLOME MITRE );01/01/2019;45 N° 1125;C. URBANO OESTE;Deportes en general;1;1900;423-3832;;;julio 9 de 1938;;L: 6054 / M: 12012;15937/82;;72;SI;;;;CATALINI RAUL TEL: 4500123;2019;31 de enero;X;X;;;
54;"ASOCIACION DE FOMENTO CULTURAL Y SOCIAL  LIBERTAD  ""BIBLIOTECA POPULAR BERNARDO DE MONTEAGUDO""";01/01/2019;51 N° 1088 E/ 16 Y 17;C. URBANO OESTE;Promoción y Fomento;1;1900;451-4082;;;año 1913 reorganizada en noviembre 12 de 1940;;L: 3745 / M: 879;13554/80;;73;SI;;;;Palmiro Morino Pte. 221-4519301;2019;28 de febrero;X;X;;2019;
55;SINDICATO LA FRATERNIDAD;01/01/2005;530 ESQ 2;TOLOSA;Profesiones y Oficios;6;1906;;webmaster@lafraternidad.org;;junio 20 de 1887;;;;;74;SI;;;;MATURANO OMAR  SECRETARIO GENERAL;2004-2005;30 de junio;X;;X;;ARCHIVADA
56;CENTRO DE FOMENTO URBANO ZONA ESTE;;DIAG. 73 N° 35 E/ 119 Y 120;C. URBANO SUR;;9;1900;;;;;;;Dto. de baja 905/84;;75;;;x;;;;;;;;;
57;CENTRO DE FOMENTO CULTURAL Y DEPORTIVO CAPITAL CHICA ( BIBLIOTECA POPULAR CALIXTO OYUELA );01/01/2018;66 E/ 156 Y 157;LOS HORNOS;Promoción y Fomento;3;1941;456-0697;crisleo1953@hotmail.com;;octubre 15 de 1936;01/05/1905;L: 4378 / M: 2608;13554/80;;76;SI;;;;bELTRANO CARLOS TEL: 425-2353 15 5041657 SECR PAULA 15 5258654;2018;30 de noviembre;X;X;;;
58;CLUB INFANTIL Y JUVENIL GENERAL SAN MARTIN;01/01/2011;7 E/ 523 Y 524;TOLOSA;Deportes en general;6;1906;;;;septiembre 9 de 1954;14/04/1959;L: 6529 / M: 5083;14864/81;;77;SI;;;;BELTRANO CARLOS TEL: 425-2353 15 5041657 SECR PAULA 15 5258654;2011;31 de diciembre;X;;X;;
59;FEDERACION DE ASOCIACIONES CATOLICAS DE EMPLEADAS DE LA CIUDAD DE LA PLATA ( F.A.C.E. );01/01/2005;44 N° 417;C. URBANO NORTE;Aprendizaje y Educación;2;1900;483-6409;;;junio 13 de 1937;;L: 3179 / M: 1124;13554/80;;78;;;;;ELSA NELIDA OSTINELLI TEL: 482-0361;2005;31 de diciembre;;;X;;ARCHIVADA
60;CLUB DEPORTIVO VILLA ELISA;01/01/2016;CENTENARIO Y 48;VILLA ELISA;Deportes en general;12;1894;487-0193;;;septiembre 9 de 1923;;L: 1638 / M: 1965;15990/82;;79;SI;;;;RAFAEL IRIGOITI;2016;31 de marzo;X;;X;;
61;CLUB ATENAS DE LA PLATA;01/01/2017;13 N° 1267;C. URBANO SUR;Deportes en general;9;1900;421-5286;;;agosto 15 de 1935;26/11/1981;L: 1624 / M: 2631;13554/80;;80;SI;;;;RUSSO MIGUEL. A. TEL: 451-6898 15 4200140;2017;31 de octubre;X;X;;;
62;CLUB SOCIAL DE FOMENTO Y DEPORTIVO TACUARI Y BIBLIOTECA MAXIMO PAZ;01/01/2015;64 N° 1175 E/ 18 Y 19;C. URBANO SUR;Deportes en general;9;1900;452-9555;;;setiembre 23 de 1948;;L: 4624 / M: 8428;137/91;;81;SI;;;;VERCILLO HUGO ALFREDO TEL: 451-6612;2015;31 de diciembre;X;X;;;
63;COOPERATIVA DE CONSUMOS DEL PERSONAL DEL FERROCARRIL LTDA.;;16 Nº 1829/31 E/ 69 Y 70;C. URBANO SUR;;9;1900;;;;;;; Dto. de baja 1662/03;;82;;;x;;;;;;;;;
64;CLUB SOCIAL Y CULTURAL 19 DE FEBRERO ( BIBLIOTECA JOSE INGENIEROS );01/01/2016;DG 682 Nº 32 E/ DG 618 Y diag 620 - ex 82 y 118;VILLA ELVIRA;Promoción y Fomento;8;1900;453-0452;club19defebrero@gmail.com;;febrero 19 de 1956;;L: 6800 / M: 713;18279/83;;84;SI;;;;BALDUCCHI DIEGO TEL: 15-4196902;2016;31 de diciembre;X;;X;40340;
65;ASOCIACION CULTURAL Y DEPORTIVA ENTRE EX EMPLEADOS DEL BANCO COMERCIAL DE LA PLATA;01/01/2018;477 E/ 20 Y CNO. GRAL BELGRANO / MONTEAGUDO E/ CNO. GRAL. BELGRANO Y 21 ( LEGAL );CITY BELL;Deportes en general;10;1896;480-0462;adriangamoneda@yahoo.com.ar;;agosto 13 de 1949;;L: 5789 / M: 145;18361/83;;85;SI;;;;ADRIAN GAMONEDA TEL: 480-1085;2018;31 de diciembre;X;X;;;
66;CLUB SOCIAL DEPORTIVO RIACHUELO;;;;;;;;;;;;;Dto. de baja 17746/83;;86;;;x;;;;;;;;;
67;CENTRO DE FOMENTO CULTURAL Y DEPORTIVO RINGUELET;;10 BIS E/ 512 Y 512 BIS;RINGUELET;;6;1901;;;;;;;Disp. N° 4/01;;88;;;;x;;;;;;;;
68;CENTRO DE FOMENTO Y DEPORTIVO JULIAN AGUIRRE;01/01/2005;25 E/ 73 Y 74;SAN LORENZO;Equipamiento e Infraestructura;5;1900;;;;mayo 8 de 1952;;L: 7482 / M: 2313;15119/81;;89;;;;;;2004-2005;5 de julio;X;;X;;ARCHIVADA
69;ASOCIACION MUTUAL NUEVO CIRCULO;01/01/1997;49 N° 825;C. URBANO NORTE;Mutualidad;1;1900;421-7665;;;enero 27 de 1895;;L: 200293;;;90;;;;;MUÑOZ JUAN JOSE;1997;31 de diciembre;X;;X;;ARCHIVADA
70;CENTRO DE RETIRADOS DE LA ARMADA NACIONAL DE PROTECCION RECIPROCA;01/01/2007;2 N° 577;C. URBANO NORTE;Mutualidad;2;1900;422-7782 / 421-9239;crancentral@hotmail.com;;octubre 11 de 1919;;L: 1504 / M: 1868;16296/82;;91;;;;;GIORGI LUIS HECTOR TEL: 482-7573;2006-2007;30 de junio;X;;X;;ARCHIVADA
71;CENTRO DE FOMENTO VILLA LENCI;01/01/2008;22 ESQ. 76;SAN LORENZO;Promoción y Fomento;5;1900;;;;octubre 20 de 1955;;L: 6782 / M: 2522;16808/82;;92;;;;;ALBERETE ANA TEL: 452 - 23147;2008;31 de diciembre;X;;X;;ARCHIVADA
72;CENTRO DE FOMENTO CULTURAL ESTRELLA DE ORO;;;;;;;;;;;;; Dto. de baja 1311/84;;93;;;x;;;;;;;;;
73;I.D.A.N.I. (INSTITUCION DE APOYO INTEGRAL A LAS PERSONAS CON CAPACIDADES DIFERENTES );01/01/2017;53 N° 440 E/ 3 Y 4;C. URBANO SUR;Capacidades diferentes (mental);1;1900;482-0805 /Hogar 526 y 23 Tolosa 470-7778;idani@hotmail.com / idani53@hotmail.com;;octubre 15 de 1959;28/12/1960;L: 7132 / M: 391;13554/80;;94;SI;;;;DI GIANO MONICA TEL: 479-1649 7 154-657532;2017;31 de octubre;X;X;;2011;
74;CENTRO DE FOMENTO LOS HORNOS Y BIBLIOTECA POPULAR BARTOLOME MITRE;01/01/2019;137 Nº 1415 E/ 61 Y 62;LOS HORNOS;Promoción y Fomento;3;1941;450-7245;alibellonihotmail.com;;agosto 13 de 1931;;L: 3195 / M: 1439;15078/81;;95;SI;;;;FERREYRA ANDRES (15)6409467 450-7245;2019;30 de junio;X;X;;2011;
75;CENTRO DE FOMENTO CENTENARIO;;;;;;;;;;;;;Dto de baja 1926/84;;96;;;x;;;;;;;;;
76;CLUB SOCIAL CULTURAL Y DEPORTIVO Y FOMENTO SUD AMERICA;01/01/2018;528 E/ 4 Y 5;TOLOSA;Deportes en general;6;1906;;cdsuda@gmail.com;;marzo 1 de 1916;;L: 3533 / M: 4764;;;97;SI;;;;;2018;30 de noviembre;X;;X;;ARCHIVADA
77;CIRCULO DE PERIODISTAS DE LA PROVINCIA DE BUENOS AIRES;01/01/2018;48 N° 530;C. URBANO NORTE;Profesiones y Oficios;1;1900;483-2606;infosede@circulodeperiodista.com.ar;;junio 1 de 1908;13/12/2010;L: 1466 / M: 2191;15072/81;o;98;SI;;;;EDUARDI EMILIO TUCCI  483-2606 tel del círculo;2018;31 de diciembre;X;X;;;
78;CENTRO DE FOMENTO SOCIAL Y DEPORTIVO LA GRANJA;01/01/1996;520 Y 142;SAN CARLOS;Deportes en general;14;1900;;;;octubre 6 de 1946;;L: 5578 / M: 8636;13554/80;;99;;;;;LICURSI ROBERTO;1996-1997;28 de febrero;;;X;;ARCHIVADA
79;CENTRO DE FOMENTO FLORESTA;01/01/2013;90 E/ 10 Y 11;VILLA ELVIRA;Promoción y Fomento;8;1900;;analia2713@hotmail.com;;marzo 14 de 1954;;L: 6963 / M: 8527;954/85;;100;SI;;;;ASCOCIBAR NESTOR;2012-2013;30 de junio;X;;X;;ARCHIVADA
80;CLUB SOCIAL CULTURAL Y DEPORTIVO FOR EVER Y BIBLIOTECA JOSE MARMOL;01/01/2008;116 N° 1477 E/ 62 Y 63;C. URBANO SUR;Deportes en general;9;1900;482-0546;;;septiembre 3 de 1913;;L: 3129 / M: 2324;1478/84;;102;;;;;FRACASSI ADOLFO GUSTAVO TEL: 479-1557 / 154764324;2007-2008;30 de junio;X;;X;;ARCHIVADA
81;ASOCIACION IRIS DE CULTURA Y EDUCACION FISICA;01/01/2009;23 Nº 565;C. URBANO OESTE;Deportes en general;4;1900;;;;julio 8 de 1939;;L: 4667 / M: 4744;1015/98;;104;SI;;;;VEDIO JULIO 421-6840;2009;31 de diciembre;X;;X;2010;ARCHIVADA
